PRINCIPIO ATIVO,CNPJ,LABORATORIO,REGISTRO,EAN,PRODUTO,APRESENTACAO,CLASSE TERAPEUTICA,PMC 0%,PMC 12%,PMC 17%,PMC 17% ALC,"PMC 17,5%","PMC 17,5% ALC",PMC 18%,PMC 18% ALC,PMC 20%
FLUORURACILA,61.186.136/0001-22,VALEANT FARMACEUTICA DO BRASIL LTDA,1057500390011,7898168004014,EFURIX,50 MG/G CREM DERM CT BG AL X 15 G ,L01B0 - AGENTES ANTINEOPLASICOS ANTIMETABOLITOS,13.4,15.22,16.15,16.15,16.24,16.24,16.34,16.34,16.76
FLUOXETINA,61.230.314/0001-75,LIBBS FARMACEUTICA LTDA,1003300540027,7896094200494,VEROTINA,20 MG COM REV CT BL AL PLAS INC X 28,N06A4 - ANTI-DEPRESSIVOS SSRI,70.86,80.53,85.38,85.38,85.89,85.89,86.42,86.42,88.57
FLURBIPROFENO,04.748.181/0001-90,LABORATORIOS BAGO DO BRASIL S.A.,1562600230012,7898940448579,TARGUS,"40 MG (0,3 MG/CM2) ADES TRANS CT 2 SACH X 5 ADES + 1 BAND",S01R0 - ANTIINFLAMATORIOS OFTALMOLOGICOS NAO ESTEROIDAIS,46.09,53.04,56.6,51.1,56.98,51.41,57.37,51.73,58.98
FLURBIPROFENO SODICO,43.426.626/0001-77,ALLERGAN PRODUTOS FARMACEUTICOS LTDA,1014700420016,7897316800225,OCUFEN,"0,3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML",S01R0 - ANTIINFLAMATORIOS OFTALMOLOGICOS NAO ESTEROIDAIS,19.3,21.94,23.25,23.25,23.4,23.4,23.54,23.54,24.14
FLUTAMIDA,33.060.740/0001-72,MANTECORP INDUSTRIA QUIMICA E FARMACEUTICA S.A.,1009301540038,7891142157027,EULEXIN,250 MG COM CT BL AL PLAS INC X 20,L02B2 - HORMONIOS ANTIANDROGENICOS CITOSTATICOS,175.94,199.94,211.98,211.98,213.27,213.27,214.57,214.57,219.93
FLUTICASONA,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,1010702710035,7896015518875,AVAMYS,"0,0275 MG/DOSE SPR NAS CT FR VD AMB X 120",R01A1 - CORTICOSTEROIDES NASAIS SEM ANTIINFECCIOSOS,39.56,45.52,48.59,43.86,48.91,44.13,49.24,44.4,50.62
FLUTRIMAZOL,53.162.095/0001-06,BIOSINTETICA FARMACEUTICA LTDA,1121302170061,7896181906278,MICETAL,"0,01 G/G CREM DERM CT  BG AL X 15 G",D01A1 - ANTIFUNGICOS DERMATOLOGICOS TOPICOS,26.6,30.62,32.67,29.49,32.89,29.67,33.11,29.85,34.03
FLUVASTATINA SODICA,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,1006800410161,7896261005297,LESCOL XL,80 MG COM REV LIB PROL CT BL AL/AL X 30,"C10A1 - ESTATINAS, INIBIDORES DA REDUTASE HMG-CoA",147.87,168.04,178.16,178.16,179.23,179.23,180.33,180.33,184.83
FOLINATO DE CALCIO,53.162.095/0001-06,BIOSINTETICA FARMACEUTICA LTDA,1121300950036,7896181901600,PREVAX,15 MG COM CT BL AL PLAS INC X 10,V03D0 - AGENTES DESINTOXICANTES PARA O TRATAMENTO DE NEOPLASISAS,123.15,139.94,148.38,148.38,149.28,149.28,150.19,150.19,153.95
FONDAPARINUX SODICO,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,1010702740082,7896015520113,ARIXTRA,"7,5 MG SOL INJ CT 02 SER PREECH X 0,6 ML",B01X0 - OUTROS AGENTES ANTITROMBOTICOS,95.78,108.84,115.39,115.39,116.1,116.1,116.8,116.8,119.72
FOSAMPRENAVIR,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,1010702480013,7896015516925,TELZIR,700 MG COM REV FR PLAS OPC X 60,J05C2 - INIBIDORES DA PROTEASE,890.47,1011.91,1072.87,1072.87,1079.37,1079.37,1085.95,1085.95,1113.1
FOSAPREPITANTO DIMEGLUMINA,45.987.013/0001-34,MERCK SHARP & DOHME FARMACEUTICA  LTDA,1002901840019,7897337708227,EMEND INJETAVEL,150 MG PO LIOF INJ IV CT FA VD INC X 10 ML ,"A04A2 - ANTIEMETICOS E ANTINAUSEANTES, ANTAGONISTAS NK1",286.15,325.18,344.77,344.77,346.85,346.85,348.97,348.97,357.69
FOSFATO DE CLINDAMICINA,57.507.378/0001-01,EMS S/A,1023507200017,7896004711430,FOSF. CLINDAMICINA,20 MG/G CREM VAG CT BG X 20 G + 3 APLIC,G01C0 - ANTIBIOTICOS GINECOLOGICOS,34.95,40.21,42.91,38.74,43.19,38.97,43.49,39.21,44.7
FOSFATO DE CODEINA,44.734.671/0001-51,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.,1029801990071,7896676426090,CODEIN,30 MG/ML SOL INJ CX 36 AMP VD AMB X 2 ML,N02A0 - ANALGESICOS NARCOTICOS,277.23,315.04,334.01,334.01,336.04,336.04,338.09,338.09,346.54
FOSFATO DE FLUDARABINA,68.132.950/0001-03,GENZYME DO BRASIL LTDA,1254300240012,7898328480351,FLUDARA,10 MG COM REV CT FR PLAS BL AL/AL X 15,L01B0 - AGENTES ANTINEOPLASICOS ANTIMETABOLITOS,2749.72,3124.68,3312.92,3312.92,3333,3333,3353.32,3353.32,3437.15
FOSFATO DE OSELTAMIVIR,33.009.945/0001-23,PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.,1010005550036,7896226506098,TAMIFLU,30 MG CAP GEL DUR CT BL AL PLAS INC X 10 ,J05B4 - ANTIVIRAIS PARA INFLUENZA,85.31,96.94,102.77,102.77,103.39,103.39,104.03,104.03,106.63
FOSFATO DE POTASSIO DIBASICO,06.628.333/0001-46,FARMACE INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA,1108500400013,7898166042124,FOSFATO DE POTASSIO,2 MEQ/ML SOL INJ IV CX 200 AMP PLAS TRANS X 10 ML,K04A1 - SOLUCOES ELECTROLITICAS (<=20ML),337.47,383.49,406.59,406.59,409.06,409.06,411.55,411.55,421.84
FOSFATO DE RUXOLITINIBE,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,1006811210027,7896261018631,JAKAVI,15 MG COM CT BL AL PLAS TRANS X 60,L01H0 - INIBIDORES DE PROTEINA QUINASE,24336.73,28004.12,29882.12,26979.45,30083.9,27142.98,30288.46,27308.47,31135.54
FOSFATO DE SITAGLIPTINA,03.560.974/0001-18,SCHERING-PLOUGH INDUSTRIA FARMACEUTICA LTDA,1017102050201,7897572004344,NIMEGON,100 MG COM REV CT BL AL AL X 14,A10N1 - ANTIDIABETICOS INIBIDORES DPP-IV  PUROS,93.34,106.07,112.46,112.46,113.14,113.14,113.83,113.83,116.68
FOSFATO DE TETRACICLINA,57.507.378/0001-01,EMS S/A,1023502280047,7896004804903,TETRAMICIN,500 MG CAP CT ENV AL X 100,J01A0 - TETRACICLINAS E ASSOCIACOES,101.8,115.7,122.66,122.66,123.41,123.41,124.16,124.16,127.27
FOSFATO DISSODICO DE BETAMETASONA,60.665.981/0001-18,UNIAO QUIMICA FARMACEUTICA NACIONAL S/A,1049713510021,7896006247302,DEXANEURIN,"0,53 MG/ML + 50 MG/ML + 50 MG/ML + 5,3 MG/ML SOL INJ CT 3 AMP VD AMB X 2 ML + 5,2 MG/ML SOL INJ CT 3 AMP VD AMB X 1 ML",M01B0 - ANTI-REUMATICOS CORTICOSTEROIDES ASSOCIADOS A OUTROS INGREDIENTES,24.51,28.21,30.1,27.18,30.3,27.34,30.51,27.51,31.36
FOSFATO DISSODICO DE DEXAMETASONA,33.173.097/0002-74,INSTITUTO TERAPEUTICO DELTA LTDA.,1044000450043,7893454505312,METCORT,1 MG/G + 5 MG/G CREM DERM CT BG AL X 10 G,D07A0 - CORTICOESTEROIDES TOPICOS PUROS,1.46,1.67,1.79,1.62,1.8,1.62,1.81,1.63,1.86
FOSFATO SODICO DE METILPREDNISOLONA,02.685.377/0001-57,SANOFI-AVENTIS FARMACEUTICA LTDA,1130002820017,7891058015718,PREDNISOLON,"1,34 MG/ML SOL OR CT FR VD AMB X 100 ML + SER DOS ",H02A2 - CORTICOSTEROIDES ORAIS PUROS,27.75,31.52,33.43,33.43,33.62,33.62,33.83,33.83,34.67
FOSFATO SODICO DE PREDNISOLONA,57.507.378/0003-65,EMS S/A,1023510230029,7896004754833,EMS-PRED,3 MG/ML SOL OR CT FR PLAS AMB X 60 ML + SER DOSAD,H02A2 - CORTICOSTEROIDES ORAIS PUROS,16.11,18.3,19.41,19.41,19.52,19.52,19.64,19.64,20.14
FOSFATO SODICO DE RIBOFLAVINA,30.222.814/0001-31,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,1039200890027,7898049793068,BERITIN   BC,XPE CT FR PET AMB X 240 ML ,A15A0 - OREXIGENOS,26.37,30.35,32.39,29.24,32.61,29.42,32.83,29.6,33.74
FOSFOMICINA TROMETAMOL,61.100.004/0001-36,ZAMBON LABORATORIOS FARMACEUTICOS LTDA.,1008401390031,7898074615212,MONURIL,"5,631 G GRAN CT 2  ENV AL PE X 8 G",G04A1 - ANTIBIOTICOS URINARIOS E/OU SULFONAMIDAS,78.41,89.1,94.48,94.48,95.04,95.04,95.62,95.62,98.02
FOTEMUSTINA,42.374.207/0001-76,LABORATORIOS SERVIER DO BRASIL LTDA,1127800530016,7898029556409,MUPHORAN,50 MG/ML PO SOL INJ CT FR VD AMB X 208 MG + AMP SOL X 4 ML,L01A0 - AGENTES ANTINEOPLASICOS ALQUILANTES,4198.82,4771.39,5058.81,5058.81,5089.47,5089.47,5120.51,5120.51,5248.52
FRUTOSE,01.571.702/0001-98,HALEX ISTAR INDUSTRIA FARMACEUTICA SA,1031100420058,7896727862211,HALEX ISTAR FRUTOSE,50 MG/ML SOL INJ IV CX 20 BOLS PE TRANS SIST FECH X 500 ML,K01B3 - SOLUCOES CARBOHIDRATOS <10%,269.99,306.81,325.29,325.29,327.27,327.27,329.26,329.26,337.48
FULVESTRANTO,61.190.096/0001-92,EUROFARMA LABORATORIOS S.A.,1004311320013,7891317120986,FULVESTRANTO,50 MG/ML SOL INJ CT SER PREENC VD TRANS DESCART X 5ML + AGULHA,L02B9 - OUTROS CITOSTATICOS ANTAGONISTAS HORMONAIS,2450.58,2784.76,2952.51,2952.51,2970.41,2970.41,2988.52,2988.52,3063.23
FUMARATO DE BENCICLANO,03.560.974/0001-18,SCHERING-PLOUGH INDUSTRIA FARMACEUTICA LTDA,1017100150081,7897572000155,FLUDILAT,100 MG COM REV CT BL AL PLAS AMB X 24,C04A2 - ANTAGONISTAS DO CALCIO COM ACAO CEREBRAL,23.58,26.81,28.42,28.42,28.59,28.59,28.77,28.77,29.49
FUMARATO DE CETOTIFENO,48.396.378/0001-82,UCI - FARMA INDUSTRIA FARMACEUTICA LTDA,1055000770038,7897655401411,ZETITEC,"0,2 MG/ML XPE CT FR VD AMB X 120 ML",R03C2 - ANTIASMATICOS/DPOC ANTIINFLAMATORIOS NAO ESTEROIDAIS RESPIRATORIOS SISTEMICOS,32.21,36.61,38.82,38.82,39.05,39.05,39.29,39.29,40.27
FUMARATO DE CLEMASTINA,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,1006800320020,7896261002050,AGASTEN,1 MG COM CT BL AL PLAS INC X 15,R06A0 - ANTI-HISTAMINICOS SISTEMICOS,19.26,22.17,23.66,21.36,23.81,21.5,23.98,21.62,24.65
FUMARATO DE DIMETILA,07.986.222/0001-74,BIOGEN BRASIL PRODUTOS FARMACEUTICOS LTDA,1699300040019,7898926573066,TECFIDERA,120 MG CAP LIB RETARDAD CT BL AL PLAS OPC X 14,N07X0 - TODOS OS OUTROS PRODUTOS PARA O SISTEMA NERVOSO CENTRAL,667.15,767.69,819.16,739.59,824.7,744.09,830.31,748.62,853.53
FUMARATO DE FORMOTEROL,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,1006800260060,7896261007239,FORADIL,12 MCG CAP PO INAL CT BL AL/AL X 30,R03A3 - ANTIASMATICOS/DPOC AGONISTAS B2 LONGA ACAO INALANTE,51.04,57.99,61.49,61.49,61.86,61.86,62.24,62.24,63.8
FUMARATO DE RUPATADINA,53.162.095/0001-06,BIOSINTETICA FARMACEUTICA LTDA,1121303060012,7896181907336,RUPAFIN,10 MG COM CT BL AL PLAS INC X 10,R06A0 - ANTI-HISTAMINICOS SISTEMICOS,47.34,54.47,58.13,52.48,58.52,52.8,58.91,53.11,60.56
FUMARATO DE TENOFOVIR DESOPROXILA,68.949.239/0001-46,UNITED MEDICAL LTDA,1257600210016,5391507140326,TRUVADA,200 MG + 300 MG COM REV FR PLAS OPC X 30,J05C1 - ANTIVIRAIS ANTI-HIV INIBIDORES DA TRANSCRIPTASE REVERSA NUCLEOSIDEOS E NUCLEOTIDEOS,2054.92,2364.59,2523.16,2278.07,2540.2,2291.88,2557.47,2305.86,2629
FURAZOLIDONA,48.396.378/0001-82,UCI - FARMA INDUSTRIA FARMACEUTICA LTDA,1055000440011,7897655400179,GIARLAM,10 MG/ML SUS OR CT FR VD AMB X 70 ML,P01A0 - AMEBICIDAS,11.11,12.62,13.38,13.38,13.46,13.46,13.55,13.55,13.89
FUROATO DE MOMETASONA,61.190.096/0001-92,EUROFARMA LABORATORIOS S.A.,1004307690014,7891317008826,FUROATO DE MOMETASONA,"0,1% CREM DERM CT BG AL X 20 G",D07A0 - CORTICOESTEROIDES TOPICOS PUROS,21.14,24.03,25.48,25.48,25.63,25.63,25.78,25.78,26.43
FUROSEMIDA,02.501.297/0001-02,PHARLAB INDUSTRIA FARMACEUTICA S.A.,1410700140040,7898216360321,FUROSEN,40 MG COM CT BL AL PLAS INC X 20,C03A2 - DIURETICOS DE ALCA PUROS,5.74,6.51,6.91,6.91,6.95,6.95,7,7,7.17
FUSAFUNGINA,42.374.207/0001-76,LABORATORIOS SERVIER DO BRASIL LTDA,1127800490012,7898029555020,LOCABIOTAL,125 MCG/DOSE SOL AER NAS/OR CT FR AL X 10 ML (400 DOSES) + VAL + 2 ADAPT,R01A4 - ANTI-INFECCIOSOS NASAIS SEM CORTICOSTEROIDES,38.26,44.03,46.97,42.41,47.29,42.68,47.62,42.94,48.94
GABAPENTINA,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,1356904160289,7894916506847,GABANEURIN,600 MG COM REV CT BL AL PLAS OPC X 27,N03A0 - ANTICONVULSIVANTES INCLUINDO ANTIEPILEPTICOS,123.65,140.5,148.97,148.97,149.87,149.87,150.78,150.78,154.56
GADODIAMIDA,00.029.372/0001-40,GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA,1839600030026,7898946550115,OMNISCAN,287 MG / ML SOL INJ CT FA VC INC X 15 ML  ,T01E0 - AGENTE DIAGNOSTICO POR IMAGEM PARA RESSONANCIA MAGNETICA,302.63,343.9,364.61,364.61,366.82,366.82,369.06,369.06,378.28
GADOTERIDOL,10.742.412/0001-50,BRACCO IMAGING DO BRASIL IMPORTACAO E DISTRIBUICAO DE MEDICAMENTOS LTDA,1803700020031,8032953580591,PROHANCE,"279,3 MG/ML SOL INJ IV CT FA VD INC X 50 ML",T01E0 - AGENTE DIAGNOSTICO POR IMAGEM PARA RESSONANCIA MAGNETICA,400.88,455.56,483,483,485.93,485.93,488.89,488.89,501.11
GADOVERSETAMIDA,30.153.811/0001-93,MALLINCKRODT DO BRASIL LTDA,1139800250084,7898419970150,OPTIMARK,"330,9 MG/ML SOL INJ CT 10  SER PLAS X 30 ML",T01E0 - AGENTE DIAGNOSTICO POR IMAGEM PARA RESSONANCIA MAGNETICA,5935.22,6744.57,7150.87,7150.87,7194.21,7194.21,7238.08,7238.08,7419.02
GALSULFASE,08.002.360/0001-34,BIOMARIN BRASIL FARMACEUTICA LTDA,1733300010016,7898927503017,NAGLAZYME,"5,0 MG SOL INJ CT FA VD INC X 5 ML",A16A0 - OUTROS PRODUTOS PARA O APARELHO DIGESTORIO E METABOLISMO,6890.82,7929.23,8460.98,7639.09,8518.11,7685.41,8576.03,7732.26,8815.87
GANCICLOVIR,58.430.828/0001-60,BLAU FARMACEUTICA S.A.,1163700370013,7896014677009,GANVIRAX,250 MG CAP GEL DURA CT FR PLAS OPC X 40,J05B3 - ANTIVIRAIS PARA HERPES,1268.29,1441.25,1528.07,1528.07,1537.33,1537.33,1546.7,1546.7,1585.37
GANGLIOSIDEO GM1,61.455.192/0001-15,TRB PHARMA INDUSTRIA QUIMICA E FARMACEUTICA LTDA,1034100030061,7896281130061,SYGEN,100 MG SOL INJ CX 1 AMP VD INC X 5 ML ,N07X0 - TODOS OS OUTROS PRODUTOS PARA O SISTEMA NERVOSO CENTRAL,207.79,239.11,255.15,230.36,256.86,231.75,258.61,233.18,265.85
GATIFLOXACINO,43.426.626/0001-77,ALLERGAN PRODUTOS FARMACEUTICOS LTDA,1014701590020,7897316804902,ZYMAR,3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML,S01A0 - ANTIINFECCIOS OFTALMOLOGICOS,30.36,34.49,36.58,36.58,36.8,36.8,37.02,37.02,37.95
GEFITINIBE,60.318.797/0001-00,ASTRAZENECA DO BRASIL LTDA,1161802360010,7896206402457,IRESSA,250 MG COM REV CT ENV X BL AL/PLAS TRANSP X 30,L01H0 - INIBIDORES DE PROTEINA QUINASE,4490.05,5102.33,5409.7,5409.7,5442.48,5442.48,5475.67,5475.67,5612.56
GEMIFLOXACINO,60.659.463/0029-92,ACHE LABORATORIOS FARMACEUTICOS S.A,1057303630018,7896658006838,FACTIVE,320 MG COM REV CT BL AL PLAS INC X 5  ,J01G1 - FLUORQUINOLONAS ORAIS,173.61,197.29,209.16,209.16,210.44,210.44,211.72,211.72,217.02
GENFIBROZILA,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,1356901800015,7894916140799,GENFIBROZILA,600 MG COM REV CT BL AL PLAS INC X 24   ,C10A2 - FIBRATOS,63.84,72.55,76.92,76.92,77.39,77.39,77.86,77.86,79.81
GESTRINONA,02.685.377/0001-57,SANOFI-AVENTIS FARMACEUTICA LTDA,1130002230015,7896185932518,DIMETROSE,"2,5 MG CAP GEL CT BL AL PLAS OPC X 8",G03X0 - OUTROS HORMONIOS SEXUAIS E PRODUTOS SIMILARES,181.68,206.45,218.9,218.9,220.22,220.22,221.56,221.56,227.11
GLIBENCLAMIDA,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,1356901620017,7894916141024,GLIBENCLAMIDA,5 MG COM CT BL AL PLAS INC X 30 ,A10H0 - ANTIDIABETICOS SULFONILOUREIAS PUROS,8.17,9.29,9.84,9.84,9.91,9.91,9.97,9.97,10.22
GLICANA,08.939.548/0001-03,INFAN INDUSTRIA QUIMICA FARMACEUTICA NACIONAL S/A,1155700480012,7896685301241,IMUNOGLUCAM,FR. AMPOLA C/ 5ML,L03A9 - OUTROS AGENTES IMUNOESTIMULANTES EXCETO INTERFERONAS,188.49,216.9,231.45,208.97,233.01,210.23,234.59,211.51,241.16
GLICEROL,88.610.555/0001-04,INDUSTRIA FARMACEUTICA BASA LTDA,1072502920011,17896032000124,BASENA ENEMA DE GLICERINA A 12%,"0,12 G/ML ENEMA CX 12 FR PLAS TRANS X 500 ML",A06A4 - LAXANTES ENEMAS,217.76,250.58,267.38,241.42,269.19,242.87,271.02,244.36,278.6
GLICINATO FERRICO,60.659.463/0029-92,ACHE LABORATORIOS FARMACEUTICOS S.A,1057303750048,7896658003844,NOVOFER PED,"263,16 MG/ML SUS OR CT FR PLAS AMB X 30 ML + CGT",B03A1 - FERRO PURO,11.17,12.86,13.73,12.39,13.82,12.47,13.91,12.54,14.3
GLICLAZIDA,17.562.075/0001-69,CIFARMA CIENTIFICA FARMACEUTICA LTDA,1156001450023,7898158693419,GLICARON,80 MG COM CT 3 BL AL PLAS INC X 20 ,A10H0 - ANTIDIABETICOS SULFONILOUREIAS PUROS,42.3,48.08,50.97,50.97,51.27,51.27,51.59,51.59,52.88
GLICONATO DE CALCIO,01.571.702/0001-98,HALEX ISTAR INDUSTRIA FARMACEUTICA SA,1031100350020,7896727806260,GLICONATO DE CALCIO,AMP 10ML,V03G2 - PRODUTOS PARA HIPERFOSFATEMIA,1.7,1.94,2.05,2.05,2.06,2.06,2.07,2.07,2.13
GLICONATO DE ZINCO,56.998.701/0001-16,ABBOTT LABORATORIOS DO BRASIL LTDA,1055303420017,7896255766050,PEDIALYTE 45 ZINCO,SOL OR FR PLAS OPC X 500 ML (SABOR MACA),A07G0 - REPOSITORES ORAIS ELECTROLITICOS,15.86,18.25,19.46,17.57,19.6,17.68,19.73,17.79,20.28
GLICOSE,01.571.702/0001-98,HALEX ISTAR INDUSTRIA FARMACEUTICA SA,1031100130599,7896727821201,GLICOSE HALEX ISTAR,100 MG/ML SOL INJ IV CX 40 BOLS PVC TRANS SIST FECH X 250 ML,K01B3 - SOLUCOES CARBOHIDRATOS <10%,237.19,269.52,285.76,285.76,287.49,287.49,289.25,289.25,296.48
GLICOSE MONOIDRATADA,61.190.096/0001-92,EUROFARMA LABORATORIOS S.A.,1004310500158,7898919447497,GLICOSE MONOIDRATADA,100 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 500 ML,K01B3 - SOLUCOES CARBOHIDRATOS <10%,8.49,9.65,10.23,10.23,10.29,10.29,10.35,10.35,10.62
GLIMEPIRIDA,05.161.069/0001-10,BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A,1558404500020,7896714237268,GLIMEPIRIDA,1 MG COM CT BL AL PLAS INC X 30,A10H0 - ANTIDIABETICOS SULFONILOUREIAS PUROS,12.57,14.27,15.14,15.14,15.22,15.22,15.32,15.32,15.7
GLIPIZIDA,46.070.868/0001-69,LABORATORIOS PFIZER LTDA.,1021601360018,7891268105100,MINIDIAB,5 MG COM CT 2 BL AL PLAS INC X 15,A10H0 - ANTIDIABETICOS SULFONILOUREIAS PUROS,31.19,35.43,37.57,37.57,37.8,37.8,38.03,38.03,38.98
GLUCAGON,82.277.955/0001-55,NOVO NORDISK FARMACEUTICA DO BRASIL LTDA,1176600140018,7897705200391,GLUCAGEN,1 UI/MG PO LIOF EST FR VD INC + SER DIL X 1 ML(HYPOKIT),H04B0 - GLUCAGON,138.51,157.39,166.87,166.87,167.88,167.88,168.91,168.91,173.12
GOLIMUMABE,51.780.468/0001-87,JANSSEN-CILAG FARMACEUTICA LTDA,1123634050010,7896212424474,SIMPONI,"50 MG SOL INJ CT 1 SER PREENC X 0,5 ML",L04B0 - PRODUTOS ANTI-TNF( FATOR DE NECROSE TUMORAL),4060.96,4614.73,4892.72,4892.72,4922.38,4922.38,4952.39,4952.39,5076.2
GONADOTROPINA CORIONICA,64.711.500/0001-14,UCB BIOPHARMA S.A.,1236100780015,7895197030366,CHORIOMON-M,5000 UI PO LIOF INJ IM/SC CX FA VD INC + DIL AMP VD INC X 1 ML,G03G0 - GONADOTROFINAS INCLUINDO OUTROS ESTIMULANTES PARA OVULACAO,87.56,99.49,105.49,105.49,106.13,106.13,106.78,106.78,109.45
GRISEOFULVINA,33.060.740/0001-72,MANTECORP INDUSTRIA QUIMICA E FARMACEUTICA S.A.,1009301000051,7891142186171,SPOROSTATIN,500 MG COM CT BL AL PLAS INC X 20,D01A2 - ANTIFUNGICOS DERMATOLOGICOS SISTEMICOS,13.33,15.14,16.05,16.05,16.15,16.15,16.24,16.24,16.64
GUAIFENESINA,60.665.981/0001-18,UNIAO QUIMICA FARMACEUTICA NACIONAL S/A,1049713650018,7896006259855,BRONCOCILIN,"0,48 MG/ML + 20 MG/ML SOL OR CT FR VD AMB X 120 ML",R05C0 - EXPECTORANTES,11.47,13.2,14.08,12.7,14.18,12.79,14.27,12.87,14.67
HALOPERIDOL,51.780.468/0001-87,JANSSEN-CILAG FARMACEUTICA LTDA,1123600110053,7896212479054,HALDOL,1 MG COM CT BL AL PLAS INC X 20,N05A9 - ANTIPSICOTICOS CONVENCIONAIS,4.81,5.46,5.79,5.79,5.82,5.82,5.86,5.86,6.01
HALOTANO,44.734.671/0001-51,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.,1029802220022,7896676400397,TANOHALO,1 ML/ML SOL INAL CT FR VD AMB X 250 ML,N01A1 - ANESTESICOS GERAIS INALANTES,292.39,332.26,352.27,352.27,354.42,354.42,356.57,356.57,365.49
HEMIFUMARATO DE ALISQUIRENO,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,1006810550029,7896261013551,RASILEZ,150 MG COM REV CT BL AL/AL X 14 ,C02A1 - ANTI-HIPERTENSIVOS PURO-ACAO CENTRAL,56.33,64.02,67.88,67.88,68.29,68.29,68.71,68.71,70.42
HEMIFUMARATO DE BISOPROLOL,33.069.212/0001-84,MERCK S/A,1008903720011,7891721026706,CONCOR HCT,"5 MG + 12,5 MG COM REV CT BL AL X 30 ",C07B1 - BETABLOQUEADORES ASSOCIADOS COM ANTIHIPERTENSIVOS E/OU DIURETICOS,79.92,90.81,96.29,96.29,96.87,96.87,97.46,97.46,99.9
HEMIFUMARATO DE QUETIAPINA,61.190.096/0001-92,EUROFARMA LABORATORIOS S.A.,1004311080020,7891317134303,HEMIFUMARATO DE QUETIAPINA,50 MG COM REV LIB PROL CT BL PLAS TRANS AL X 30,N05A1 - ANTIPSICOTICOS ATIPICOS,129.66,147.34,156.22,156.22,157.17,157.17,158.12,158.12,162.08
HEMITARTARATO DE EPINEFRINA,58.430.828/0001-60,BLAU FARMACEUTICA S.A.,1163700810013,7896014688098,EFRINALIN,1 MG/ML SOL INJ CX 100 AMP VD  AMB X 1 ML,C01C1 - ESTIMULANTES CARDIACOS EXCLUINDO AGENTES DOPAMINERGICOS.,63.01,71.61,75.92,75.92,76.38,76.38,76.85,76.85,78.77
HEMITARTARATO DE NOREPINEFRINA,38.909.503/0001-57,OPEM REPRESENTACAO IMPORTADORA EXPORTADORA E DISTRIBUIDORA LTDA,1274800030038,7898905267979,NOREPINE,8 MG SOL INJ CX AMP VD AMB X 4 ML,C01C1 - ESTIMULANTES CARDIACOS EXCLUINDO AGENTES DOPAMINERGICOS.,4.41,5,5.31,5.31,5.35,5.35,5.38,5.38,5.52
HEMITARTARATO DE RIVASTIGMINA,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,1356906440051,7895296116497,VASTIGMA,"1,5 MG CAP GEL DURA CT BL AL PLAS OPC X 30","N07D1 - PRODUTOS ANTIALZHEIMER, INIBIDORES DA COLINESTERASE",192.49,218.73,231.9,231.9,233.31,233.31,234.74,234.74,240.61
HEMITARTARATO DE VINORELBINA,33.051.491/0001-59,LABORATORIOS PIERRE FABRE DO BRASIL LTDA,1016202490019,7896290402005,NAVELBINE,10 MG/ML SOL INJ CT FA VD INC X 1 ML,L01C1 - AGENTES ANTINEOPLASICOS ALCALOIDES DA VINCA,268.33,304.93,323.3,323.3,325.26,325.26,327.24,327.24,335.42
HEMITARTARATO DE ZOLPIDEM,02.685.377/0001-57,SANOFI-AVENTIS FARMACEUTICA LTDA,1130010010096,7891058019921,STILNOX CR,"12,5 MG COM LIB PROL CT BL AL PLAS TRANS X 30",N05B1 - HIPNOTICOS E SEDATIVOS NAO BARBITURICOS PUROS,87.3,99.2,105.18,105.18,105.81,105.81,106.46,106.46,109.13
HEPARINA SODICA SUINA,49.475.833/0001-06,BIOLAB SANUS FARMACEUTICA LTDA,1097401320039,7896112448679,CONTRACTUBEX,GEL CT BG AL REV X 50 G,D11A0 - OUTRAS PREPARACOES DERMATOLOGICAS,124.84,143.64,153.27,138.38,154.32,139.23,155.36,140.07,159.71
